nama_usaha,jenis_usaha,tenaga_kerja_perempuan,tenaga_kerja_laki_laki,tahun_berdiri,status_legalitas,marketplace,kapasitas_produksi,Cluster_KProto,Cluster_KMeans,Cluster_KMedoids,Cluster_Agglomerative
UD. Alif Pamungkas,2.0,-1.6841837678782858,0.2371751836966508,0.41111219558806655,0.0,3.0,-0.07314664967592545,1,0,1,1
UD. Zidanar Panji,5.0,-1.5458735578573854,-0.17761597627077613,0.272922194920046,1.0,0.0,-0.12590767094304708,0,0,0,2
UD. Winda Jayengprana,2.4,0.8399775650031476,0.06434553371022292,-1.6617378144322414,0.0,4.0,-0.4108171857855039,1,1,0,1
UD. Damaris Satria,1.0,1.3586408525815243,-1.5256872461649136,-1.2471678124281798,0.0,4.0,1.710175869152786,1,1,1,1
UD. Qasya Wiratama,1.0,1.4277959575919745,0.34087297368850755,-1.3853578130962003,0.0,1.0,-0.6535178836142634,0,1,1,1
UD. Grego Wiraatmaja Nara,1.0,0.9091326700135979,-0.45414341624906074,-1.6617378144322414,0.0,0.0,0.5670204083651504,0,1,0,1
UD. Mika Bagaskara,5.0,-0.4393918776901817,0.13347739370479408,-1.2471678124281798,1.0,1.0,0.7534426835089802,0,1,0,2
UD. Yora Selaras,2.0,0.8745551175083727,-1.5948191061594847,-0.4180278084200566,0.0,3.0,-0.13997727661427953,1,1,0,1
UD. Wenny Langit,1.0,1.1165979850449486,1.1358893636260758,-1.6617378144322414,0.0,2.0,-1.3358937586690367,0,1,1,1
UD. Fani Wijaya,1.0,-1.1309429277946839,-0.10848411627620497,-0.8325978104241182,0.0,4.0,1.3056747061048533,1,1,1,1
UD. Karim Asmaralaya,5.0,-1.0963653752894589,1.205021223620647,0.272922194920046,1.0,0.0,0.8308255147007586,0,0,0,2
UD. Jafar Gandewa,4.0,-0.7851674027424328,-0.45414341624906074,-0.5562178090880772,0.0,3.0,0.2821108935226936,1,1,0,1
UD. Elyas Wiraatmaja,5.0,-1.3384082428260347,1.1013234336287903,0.41111219558806655,0.0,0.0,0.327837111954199,0,0,0,1
UD. Erlangga Wiyata,2.0,1.566106167612875,-0.2813137662626329,-1.1089778117601592,0.0,4.0,-1.666529491942999,1,1,0,1
UD. Hasna Saputranegara,2.0,0.044693857382969944,-0.0739181862789194,0.9638721982601486,0.0,2.0,-1.25499352605945,0,0,1,1
UD. Halim Surya,3.6,0.9091326700135979,1.7235101735799307,-1.6617378144322414,0.0,3.0,0.2856282949405017,1,1,0,1
UD. Farhan Mulyo,4.0,1.254908195065849,0.37543890368579313,-0.4180278084200566,0.0,4.0,-0.6288960736896066,1,1,0,1
UD. Farhan Sukadarma,5.0,1.7044163776337755,0.4100048336830787,0.549302196256087,0.0,3.0,0.5670204083651504,1,0,0,1
