nama_usaha,laba,jenis_usaha,tenaga_kerja_perempuan,tenaga_kerja_laki_laki,tahun_berdiri,status_legalitas,marketplace,kapasitas_produksi,aset,omset,biaya_karyawan,jumlah_pelanggan,Cluster_KMeans_cat_a,Cluster_KMeans_cat_b,CrossCluster
UD. Alif Pamungkas,-2149355.0,2.0,-1.6841837678782858,0.2371751836966508,0.4111121955880665,0.0,3.0,-0.0731466496759254,0.1004187303817421,-1.5646124836096844,-1.0243892909940542,-0.0734117383387377,0,1,01
UD. Zidanar Panji,32571277.0,5.0,-1.5458735578573854,-0.1776159762707761,0.272922194920046,1.0,0.0,-0.125907670943047,0.7964297232856413,1.015499928218785,-1.2204650615300645,-0.1262037621893104,0,1,01
UD. Winda Jayengprana,16371593.0,2.4,0.8399775650031476,0.0643455337102229,-1.6617378144322414,0.0,4.0,-0.4108171857855039,1.3394701126282529,-0.021304770101641,0.6422547585620317,-0.4112806909824029,1,1,11
UD. Damaris Satria,11124211.0,1.0,1.3586408525815243,-1.5256872461649136,-1.2471678124281798,0.0,4.0,1.710175869152786,1.5936844362906903,-0.342073891108853,-0.1175388522650074,1.7109586678106192,1,1,11
UD. Qasya Wiratama,-4636043.0,1.0,1.4277959575919743,0.3408729736885075,-1.3853578130962003,0.0,1.0,-0.6535178836142634,1.5500015082316878,-1.4608344084934723,1.2549915414870634,-0.6541240006950374,1,1,11
UD. Grego Wiraatmaja Nara,10225197.0,1.0,0.909132670013598,-0.4541434162490607,-1.6617378144322414,0.0,0.0,0.5670204083651504,1.4091566924441137,-0.440924287294318,0.3236316314410153,0.5671314843815443,1,1,11
UD. Mika Bagaskara,-3433417.0,5.0,-0.4393918776901817,0.133477393704794,-1.2471678124281798,1.0,1.0,0.7534426835089802,1.065241265246211,-1.4693981555027384,-0.2155767375330124,-0.2669824924575043,1,1,11
UD. Yora Selaras,9637378.0,2.0,0.8745551175083727,-1.5948191061594847,-0.4180278084200566,0.0,3.0,-0.1399772766142795,0.6769590657855419,-0.6232491827125587,-0.5096903933370276,-0.1402816352161298,1,1,11
UD. Wenny Langit,39104489.0,1.0,1.1165979850449486,1.1358893636260758,-1.6617378144322414,0.0,2.0,-1.3358937586690367,-0.9067765192626752,1.1339018027493837,1.598124139925081,-1.3369008424957776,1,0,10
UD. Fani Wijaya,34415640.0,1.0,-1.130942927794684,-0.1084841162762049,-0.8325978104241182,0.0,4.0,1.3056747061048533,1.0667363507537997,1.1974609350180463,-0.8773324630920466,1.306219818289562,1,1,11
