nama_usaha,laba,jenis_usaha,tenaga_kerja_perempuan,tenaga_kerja_laki_laki,tahun_berdiri,status_legalitas,marketplace,kapasitas_produksi,aset,omset,biaya_karyawan,jumlah_pelanggan,Cluster_KMeans_cat_a,Cluster_KMeans_cat_b,CrossCluster,klas_laba
UD. Alif Pamungkas,-2149355.0,2.0,1.0,56.0,2015.0,0.0,3.0,479.0,5497149.0,3347794.0,171000000.0,479.0,0,1,1,rugi
UD. Zidanar Panji,32571277.0,5.0,5.0,44.0,2014.0,1.0,0.0,464.0,7398384.0,39969661.0,147000000.0,464.0,0,1,1,untung
UD. Winda Jayengprana,16371593.0,2.4,74.0,51.0,2000.0,0.0,4.0,383.0,8881762.0,25253355.0,375000000.0,383.0,1,1,11,untung
UD. Damaris Satria,11124211.0,1.0,89.0,5.0,2003.0,0.0,4.0,986.0,9576178.0,20700389.0,282000000.0,986.0,1,1,11,untung
UD. Qasya Wiratama,-4636043.0,1.0,91.0,59.0,2002.0,0.0,1.0,314.0,9456853.0,4820810.0,450000000.0,314.0,1,1,11,rugi
UD. Grego Wiraatmaja Nara,10225197.0,1.0,76.0,36.0,2000.0,0.0,0.0,661.0,9072119.0,19297316.0,336000000.0,661.0,1,1,11,untung
UD. Mika Bagaskara,-3433417.0,5.0,37.0,53.0,2003.0,1.0,1.0,714.0,8132674.0,4699257.0,270000000.0,424.0,1,1,11,rugi
UD. Yora Selaras,9637378.0,2.0,75.0,3.0,2009.0,0.0,3.0,460.0,7072036.0,16709414.0,234000000.0,460.0,1,1,11,untung
UD. Wenny Langit,39104489.0,1.0,82.0,82.0,2000.0,0.0,2.0,120.0,2745878.0,41650245.8,492000000.0,120.0,1,0,10,untung
UD. Fani Wijaya,34415640.0,1.0,17.0,46.0,2006.0,0.0,4.0,871.0,8136758.0,42552398.0,189000000.0,871.0,1,1,11,untung
UD. Karim Asmaralaya,-2951035.0,5.0,18.0,84.0,2014.0,1.0,0.0,736.0,7862540.0,4911505.0,306000000.0,736.0,0,1,1,rugi
UD. Jafar Gandewa,34836432.0,4.0,27.0,36.0,2008.0,0.0,3.0,580.0,9106010.0,43942442.0,189000000.0,580.0,1,1,11,untung
UD. Elyas Wiraatmaja,17065158.0,5.0,11.0,81.0,2015.0,0.0,0.0,593.0,4557522.0,21622680.0,276000000.0,593.0,0,0,0,untung
UD. Erlangga Wiyata,9740643.0,2.0,95.0,41.0,2004.0,0.0,4.0,26.0,1961437.0,11702080.0,408000000.0,26.0,1,0,10,untung
UD. Hasna Saputranegara,12644475.0,2.0,51.0,47.0,2019.0,0.0,2.0,143.0,606340.0,13250815.0,294000000.0,143.0,0,0,0,untung
UD. Halim Surya,13309023.0,3.6,76.0,99.0,2000.0,0.0,3.0,581.0,5782560.0,19091583.0,525000000.0,581.0,1,1,11,untung
UD. Farhan Mulyo,34510730.0,4.0,86.0,60.0,2009.0,0.0,4.0,321.0,7888385.0,42399115.0,438000000.0,321.0,1,1,11,untung
UD. Farhan Sukadarma,42613809.0,5.0,99.0,61.0,2016.0,0.0,3.0,661.0,1242635.0,43856444.0,480000000.0,661.0,0,0,0,untung
UD. Qisha Saprahan,40437845.0,5.0,57.0,54.0,2022.0,0.0,0.0,542.0,8835217.0,49273062.0,333000000.0,542.0,0,1,1,untung
UD. Tasya Tunggul,29620364.0,2.0,93.0,48.6,2024.0,1.0,4.0,852.0,8613350.0,38233714.0,387000000.0,852.0,0,1,1,untung
UD. Yudi Kamajaya,7599645.0,4.0,21.0,14.0,2018.0,1.0,4.0,203.0,6784828.0,14384473.0,105000000.0,203.0,0,1,1,untung
UD. Putri Wiraatmaja Rafif,27949766.0,5.0,44.0,58.0,2016.0,1.0,4.0,904.0,4791730.0,32773263.4,306000000.0,904.0,0,0,0,untung
UD. Olivia Kusumasari,26743044.0,4.0,61.0,62.0,2020.0,1.0,2.0,669.0,7010703.0,33753747.0,369000000.0,669.0,0,1,1,untung
UD. Dea Tunggul Ziva,42316256.0,5.0,41.0,65.0,2014.0,1.0,4.0,841.0,3938582.0,46254838.0,318000000.0,841.0,0,0,0,untung
UD. Iqra Panji,30340026.0,4.0,66.0,41.0,2002.0,0.0,3.0,633.0,4765067.0,35105093.0,321000000.0,633.0,1,0,10,untung
UD. Tono Surapati,30303492.0,2.0,8.0,30.0,2009.0,1.0,4.0,285.0,5623602.0,35927094.0,114000000.0,285.0,1,1,11,untung
UD. Qisha Kusumah,36411826.0,5.0,63.0,5.0,2013.0,1.0,2.0,104.0,5902996.0,42314822.0,204000000.0,104.0,0,1,1,untung
UD. Tari Jayeng,14467426.0,4.0,14.0,18.0,2016.0,1.0,2.0,173.0,6031918.0,20499344.0,96000000.0,173.0,0,1,1,untung
UD. Uli Widhi,1443409.0,2.6,29.0,37.0,2016.0,0.0,0.0,327.0,3991688.0,5435097.0,198000000.0,327.0,0,0,0,untung
UD. Clarissa Cahaya,14100697.0,2.0,25.0,78.0,2005.0,1.0,3.0,545.0,1501660.0,15602357.0,309000000.0,545.0,1,0,10,untung
UD. Nisa Hastinapura,19215487.0,4.0,93.0,32.0,2012.0,0.0,1.0,991.0,3956511.0,23171998.0,375000000.0,991.0,1,0,10,untung
UD. Chiko Suryaatmaja,1438940.0,5.0,68.0,89.0,2006.0,1.0,3.0,914.0,2523098.0,3962038.0,471000000.0,914.0,1,0,10,untung
UD. Damar Panji,-966481.0,2.0,94.0,52.0,2008.0,0.0,1.0,195.0,3862258.0,2895777.0,438000000.0,195.0,1,0,10,rugi
UD. Qayla Sukarela,30437016.0,2.0,21.0,29.0,2015.0,1.0,3.0,58.0,6295985.4,36832017.0,150000000.0,58.0,0,1,1,untung
UD. Kinan Buana,13830054.0,5.0,53.0,74.0,2004.0,0.0,4.0,218.0,8687490.0,22517544.0,381000000.0,218.0,1,1,11,untung
UD. Niken Lintang,19447906.0,2.2,57.0,64.0,2016.0,0.0,1.0,235.0,2003545.0,21451451.0,363000000.0,235.0,0,0,0,untung
UD. Lidya Pamungkas,16610775.0,1.0,78.0,13.0,2000.0,0.0,3.0,190.0,8284243.0,24895018.0,273000000.0,190.0,1,1,11,untung
UD. Farid Agastya,2465437.0,4.0,52.0,9.0,2008.0,0.0,0.0,788.0,1435120.0,3900557.0,183000000.0,788.0,1,0,10,untung
UD. Yumna Sentosa,3640941.0,5.0,98.0,16.0,2024.0,0.0,2.0,399.0,3298391.0,6939332.0,342000000.0,399.0,0,0,0,untung
UD. Yusuf Suryaputra,13373861.0,0.0,18.0,74.0,2017.0,0.0,3.0,964.0,6119793.0,19493654.0,276000000.0,964.0,0,1,1,untung
UD. Krisna Trisula,11729890.0,0.0,33.0,14.0,2017.0,1.0,3.0,956.0,8313438.0,20043328.0,141000000.0,956.0,0,1,1,untung
UD. Heri Wiyata,5066991.0,3.0,81.0,75.0,2012.0,1.0,2.0,186.0,3281572.0,8348563.0,468000000.0,186.0,0,0,0,untung
UD. Anang Baswara,42319881.0,3.0,13.0,2.0,2008.0,1.0,1.0,608.0,5316536.0,47636417.0,45000000.0,608.0,1,0,10,untung
UD. Gilang Galang,36037162.0,3.0,21.0,21.0,2020.0,1.0,1.0,505.0,5753490.0,41790652.0,126000000.0,505.0,0,1,1,untung
UD. Sekar Trijaya,2048411.0,0.0,87.0,55.0,2006.0,1.0,4.0,122.0,1564818.0,3613229.0,426000000.0,122.0,1,0,10,untung
UD. Diyan Prawira,27972433.0,5.0,12.0,58.0,2004.0,1.0,4.0,768.0,1537363.0,29509796.0,210000000.0,768.0,1,0,10,untung
UD. Fajar Darussalam Lukita,10056449.0,1.0,63.0,25.0,2023.0,0.0,4.0,130.0,4279679.0,14336128.0,264000000.0,130.0,0,0,0,untung
UD. Yumna Wira,5567269.0,5.0,55.0,49.0,2007.0,0.4,0.0,952.0,9483812.0,15051081.0,312000000.0,952.0,1,1,11,untung
UD. Sani Segar,44281523.0,3.0,71.0,86.0,2022.0,1.0,2.0,822.0,4595843.0,48877366.0,471000000.0,822.0,0,0,0,untung
UD. Nazar Baruna,11120279.0,5.0,41.0,79.0,2000.0,0.0,1.0,58.0,8471642.0,19591921.0,360000000.0,58.0,1,1,11,untung
