jenis_usaha,tenaga_kerja_perempuan,tenaga_kerja_laki_laki,aset,omset,marketplace,kapasitas_produksi,status_legalitas,tahun_berdiri,laba,biaya_karyawan,jumlah_pelanggan,nama_usaha,Cluster_KMeans_cat_a,Cluster_KMeans_cat_b,CrossCluster
2.0,1.0,56.0,5497149.0,3347794.0,3.0,479.0,0.0,2015.0,-2149355.0,171000000.0,479.0,UD. Alif Pamungkas,0,1,1
5.0,5.0,44.0,7398384.0,39969661.0,0.0,464.0,1.0,2014.0,32571277.0,147000000.0,464.0,UD. Zidanar Panji,0,1,1
2.4,74.0,51.0,8881762.0,25253355.0,4.0,383.0,0.0,2000.0,16371593.0,375000000.0,383.0,UD. Winda Jayengprana,1,1,11
1.0,89.0,5.0,9576178.0,20700389.0,4.0,986.0,0.0,2003.0,11124211.0,282000000.0,986.0,UD. Damaris Satria,1,1,11
1.0,91.0,59.0,9456853.0,4820810.0,1.0,314.0,0.0,2002.0,-4636043.0,450000000.0,314.0,UD. Qasya Wiratama,1,1,11
1.0,76.0,36.0,9072119.0,19297316.0,0.0,661.0,0.0,2000.0,10225197.0,336000000.0,661.0,UD. Grego Wiraatmaja Nara,1,1,11
5.0,37.0,53.0,8132674.0,4699257.0,1.0,714.0,1.0,2003.0,-3433417.0,270000000.0,424.0,UD. Mika Bagaskara,1,1,11
2.0,75.0,3.0,7072036.0,16709414.0,3.0,460.0,0.0,2009.0,9637378.0,234000000.0,460.0,UD. Yora Selaras,1,1,11
1.0,82.0,82.0,2745878.0,41650245.8,2.0,120.0,0.0,2000.0,39104489.0,492000000.0,120.0,UD. Wenny Langit,1,0,10
1.0,17.0,46.0,8136758.0,42552398.0,4.0,871.0,0.0,2006.0,34415640.0,189000000.0,871.0,UD. Fani Wijaya,1,1,11
5.0,18.0,84.0,7862540.0,4911505.0,0.0,736.0,1.0,2014.0,-2951035.0,306000000.0,736.0,UD. Karim Asmaralaya,0,1,1
4.0,27.0,36.0,9106010.0,43942442.0,3.0,580.0,0.0,2008.0,34836432.0,189000000.0,580.0,UD. Jafar Gandewa,1,1,11
5.0,11.0,81.0,4557522.0,21622680.0,0.0,593.0,0.0,2015.0,17065158.0,276000000.0,593.0,UD. Elyas Wiraatmaja,0,0,0
2.0,95.0,41.0,1961437.0,11702080.0,4.0,26.0,0.0,2004.0,9740643.0,408000000.0,26.0,UD. Erlangga Wiyata,1,0,10
2.0,51.0,47.0,606340.0,13250815.0,2.0,143.0,0.0,2019.0,12644475.0,294000000.0,143.0,UD. Hasna Saputranegara,0,0,0
3.6,76.0,99.0,5782560.0,19091583.0,3.0,581.0,0.0,2000.0,13309023.0,525000000.0,581.0,UD. Halim Surya,1,1,11
4.0,86.0,60.0,7888385.0,42399115.0,4.0,321.0,0.0,2009.0,34510730.0,438000000.0,321.0,UD. Farhan Mulyo,1,1,11
5.0,99.0,61.0,1242635.0,43856444.0,3.0,661.0,0.0,2016.0,42613809.0,480000000.0,661.0,UD. Farhan Sukadarma,0,0,0
5.0,57.0,54.0,8835217.0,49273062.0,0.0,542.0,0.0,2022.0,40437845.0,333000000.0,542.0,UD. Qisha Saprahan,0,1,1
2.0,93.0,48.6,8613350.0,38233714.0,4.0,852.0,1.0,2024.0,29620364.0,387000000.0,852.0,UD. Tasya Tunggul,0,1,1
4.0,21.0,14.0,6784828.0,14384473.0,4.0,203.0,1.0,2018.0,7599645.0,105000000.0,203.0,UD. Yudi Kamajaya,0,1,1
5.0,44.0,58.0,4791730.0,32773263.4,4.0,904.0,1.0,2016.0,27949766.0,306000000.0,904.0,UD. Putri Wiraatmaja Rafif,0,0,0
4.0,61.0,62.0,7010703.0,33753747.0,2.0,669.0,1.0,2020.0,26743044.0,369000000.0,669.0,UD. Olivia Kusumasari,0,1,1
5.0,41.0,65.0,3938582.0,46254838.0,4.0,841.0,1.0,2014.0,42316256.0,318000000.0,841.0,UD. Dea Tunggul Ziva,0,0,0
4.0,66.0,41.0,4765067.0,35105093.0,3.0,633.0,0.0,2002.0,30340026.0,321000000.0,633.0,UD. Iqra Panji,1,0,10
2.0,8.0,30.0,5623602.0,35927094.0,4.0,285.0,1.0,2009.0,30303492.0,114000000.0,285.0,UD. Tono Surapati,1,1,11
5.0,63.0,5.0,5902996.0,42314822.0,2.0,104.0,1.0,2013.0,36411826.0,204000000.0,104.0,UD. Qisha Kusumah,0,1,1
4.0,14.0,18.0,6031918.0,20499344.0,2.0,173.0,1.0,2016.0,14467426.0,96000000.0,173.0,UD. Tari Jayeng,0,1,1
2.6,29.0,37.0,3991688.0,5435097.0,0.0,327.0,0.0,2016.0,1443409.0,198000000.0,327.0,UD. Uli Widhi,0,0,0
2.0,25.0,78.0,1501660.0,15602357.0,3.0,545.0,1.0,2005.0,14100697.0,309000000.0,545.0,UD. Clarissa Cahaya,1,0,10
4.0,93.0,32.0,3956511.0,23171998.0,1.0,991.0,0.0,2012.0,19215487.0,375000000.0,991.0,UD. Nisa Hastinapura,1,0,10
5.0,68.0,89.0,2523098.0,3962038.0,3.0,914.0,1.0,2006.0,1438940.0,471000000.0,914.0,UD. Chiko Suryaatmaja,1,0,10
2.0,94.0,52.0,3862258.0,2895777.0,1.0,195.0,0.0,2008.0,-966481.0,438000000.0,195.0,UD. Damar Panji,1,0,10
2.0,21.0,29.0,6295985.4,36832017.0,3.0,58.0,1.0,2015.0,30437016.0,150000000.0,58.0,UD. Qayla Sukarela,0,1,1
5.0,53.0,74.0,8687490.0,22517544.0,4.0,218.0,0.0,2004.0,13830054.0,381000000.0,218.0,UD. Kinan Buana,1,1,11
2.2,57.0,64.0,2003545.0,21451451.0,1.0,235.0,0.0,2016.0,19447906.0,363000000.0,235.0,UD. Niken Lintang,0,0,0
1.0,78.0,13.0,8284243.0,24895018.0,3.0,190.0,0.0,2000.0,16610775.0,273000000.0,190.0,UD. Lidya Pamungkas,1,1,11
4.0,52.0,9.0,1435120.0,3900557.0,0.0,788.0,0.0,2008.0,2465437.0,183000000.0,788.0,UD. Farid Agastya,1,0,10
5.0,98.0,16.0,3298391.0,6939332.0,2.0,399.0,0.0,2024.0,3640941.0,342000000.0,399.0,UD. Yumna Sentosa,0,0,0
0.0,18.0,74.0,6119793.0,19493654.0,3.0,964.0,0.0,2017.0,13373861.0,276000000.0,964.0,UD. Yusuf Suryaputra,0,1,1
0.0,33.0,14.0,8313438.0,20043328.0,3.0,956.0,1.0,2017.0,11729890.0,141000000.0,956.0,UD. Krisna Trisula,0,1,1
3.0,81.0,75.0,3281572.0,8348563.0,2.0,186.0,1.0,2012.0,5066991.0,468000000.0,186.0,UD. Heri Wiyata,0,0,0
3.0,13.0,2.0,5316536.0,47636417.0,1.0,608.0,1.0,2008.0,42319881.0,45000000.0,608.0,UD. Anang Baswara,1,0,10
3.0,21.0,21.0,5753490.0,41790652.0,1.0,505.0,1.0,2020.0,36037162.0,126000000.0,505.0,UD. Gilang Galang,0,1,1
0.0,87.0,55.0,1564818.0,3613229.0,4.0,122.0,1.0,2006.0,2048411.0,426000000.0,122.0,UD. Sekar Trijaya,1,0,10
5.0,12.0,58.0,1537363.0,29509796.0,4.0,768.0,1.0,2004.0,27972433.0,210000000.0,768.0,UD. Diyan Prawira,1,0,10
1.0,63.0,25.0,4279679.0,14336128.0,4.0,130.0,0.0,2023.0,10056449.0,264000000.0,130.0,UD. Fajar Darussalam Lukita,0,0,0
5.0,55.0,49.0,9483812.0,15051081.0,0.0,952.0,0.4,2007.0,5567269.0,312000000.0,952.0,UD. Yumna Wira,1,1,11
3.0,71.0,86.0,4595843.0,48877366.0,2.0,822.0,1.0,2022.0,44281523.0,471000000.0,822.0,UD. Sani Segar,0,0,0
5.0,41.0,79.0,8471642.0,19591921.0,1.0,58.0,0.0,2000.0,11120279.0,360000000.0,58.0,UD. Nazar Baruna,1,1,11
