jenis_usaha,tenaga_kerja_perempuan,tenaga_kerja_laki_laki,tahun_berdiri,status_legalitas,marketplace,kapasitas_produksi,aset,biaya_karyawan,jumlah_pelanggan
4.0,83.0,30.2,2001.0,1.0,2.0,900.0,2540023.0,300000000.0,900.0
4.0,27.0,26.0,2007.0,0.0,1.0,766.0,2192466.0,159000000.0,766.0
1.0,60.0,15.0,2005.0,0.0,3.0,620.0,2290011.0,225000000.0,620.0
5.0,73.0,21.0,2003.0,1.0,4.0,324.0,1652554.0,282000000.0,324.0
5.0,18.0,66.0,2003.0,1.0,3.0,999.0,2070802.0,252000000.0,999.0
4.0,26.0,88.0,2003.0,0.0,1.0,378.0,1298012.0,342000000.0,378.0
4.0,60.0,32.0,2000.0,1.0,3.0,634.0,2987268.0,276000000.0,634.0
1.0,71.0,74.0,2004.0,1.0,4.0,724.0,1442357.0,435000000.0,724.0
4.0,11.0,24.0,2001.0,0.0,3.0,743.0,5039652.0,105000000.0,743.0
4.0,58.0,60.0,2001.0,0.0,4.0,729.0,1097550.0,354000000.0,729.0
4.0,7.0,52.0,2004.0,0.0,2.0,897.0,2992347.0,177000000.0,897.0
5.0,82.0,54.0,2008.0,1.0,1.0,681.0,1208897.0,408000000.0,681.0
1.0,4.0,29.0,2003.0,1.0,3.0,952.0,3644038.0,99000000.0,952.0
4.0,18.0,20.0,2002.0,1.0,2.0,481.0,2067978.0,114000000.0,481.0
5.0,3.0,88.0,2001.0,0.0,3.0,610.0,4279702.0,296400000.0,610.0
1.0,99.0,26.0,2010.0,0.4,4.0,439.0,1747951.0,375000000.0,439.0
4.0,93.0,63.0,2006.0,0.0,1.0,778.0,4019968.0,468000000.0,778.0
1.0,18.0,73.0,2009.0,1.0,4.0,444.0,1418590.0,273000000.0,444.0
5.0,61.0,61.0,2001.0,1.0,0.0,613.0,4684262.0,366000000.0,613.0
5.0,54.0,51.0,2006.0,0.0,4.0,119.0,3442776.0,315000000.0,119.0
5.0,15.0,39.0,2011.0,1.0,2.0,587.0,2001946.0,162000000.0,587.0
2.0,38.0,13.0,2012.0,0.0,0.0,512.0,2412069.0,153000000.0,512.0
5.0,50.0,88.0,2009.0,1.0,4.0,698.0,4421241.0,414000000.0,698.0
